Distrito	MUNICÍPIO	Nome  Presidente	MORADA	CÓDIGO POSTAL	E-mail	Telefone 	Sitio
Distrito SANTARÉM	ABRANTES	Maria do Céu de Oliveira Antunes Albuquerque	Praça Raimundo Soares	2200-366	geral@cm-abrantes.pt	241330100	www.cm-abrantes.pt
Distrito AVEIRO	ÁGUEDA	Jorge Henrique Fernandes de Almeida	Praça do Município	3754-500	geral@cm-agueda.pt	234610070	www.cm-agueda.pt
Distrito GUARDA	AGUIAR DA BEIRA	Joaquim António Marques Bonifácio	Avenida da Liberdade, N.º 21	3570-018	geral@cm-aguiardabeira.pt	232689100	www.cm-aguiardabeira.pt
Distrito ÉVORA	ALANDROAL	João Maria Aranha Grilo	Praça da República	7250-116	geral@cm-alandroal.pt	268440040	www.cm-alandroal.pt
Distrito AVEIRO	ALBERGARIA-A-VELHA	António Augusto Amaral Loureiro e Santos	Praça Comendador Ferreira Tavares	3850-053	geral@cm-albergaria.pt	234529300	www.cm-albergaria.pt
Distrito FARO	ALBUFEIRA	José Carlos Martins Rôlo	Rua do Município	8200-863	geral@cm-albufeira.pt	289599500	www.cm-albufeira.pt
Distrito SETÚBAL	ALCÁCER DO SAL	Vítor Manuel Chaves de Caro Proença 	Praça Pedro Nunes	7580-125	geral@m-alcacerdosal.pt	265610040	www.cm-alcacerdosal.pt
Distrito SANTARÉM	ALCANENA	Fernanda Maria Pereira Asseiceira	Praça 8 de Maio	2380-037	geral@cm-alcanena.pt	249889010	www.cm-alcanena.pt
Distrito LEIRIA	ALCOBAÇA	Paulo Jorge Marques Inácio	Praça João de Deus Ramos	2461-501	cmalcobaca@cm-alcobaca.pt	262580800	www.cm-alcobaca.pt
Distrito SETÚBAL	ALCOCHETE	Fernando Manuel Gonçalves Pina Pinto	Largo de S. João Batista	2894-001	geral@cm-alcochete.pt	212348600	www.cm-alcochete.pt
Distrito FARO	ALCOUTIM	Osvaldo dos Santos Gonçalves	Rua do Município, N.º 12	8970-066	geral@cm-alcoutim.pt	281540500	www.cm-alcoutim.pt
Distrito LISBOA	ALENQUER	Pedro Miguel Ferreira Folgado	Praça Luís de Camões	2580-318	geral@cm-alenquer.pt	263730900	www.cm-alenquer.pt
